temperature_C,humidity_pct,wind_speed_kmh,is_weekend,hotchoc_sales
1.6,26.11,22.76,1,178
14.8,94.31,3.73,1,98
13.5,82.13,14.25,0,117
24.3,41.59,22.34,0,74
-0.6,52.74,4.28,0,238
4.8,73.47,12.43,1,138
15.1,24.73,,1,93
8.9,83.59,1.16,1,146
-0.6,unknown,26.78,1,185
-3.9,86.1,5.21,1,227
17.6,29.2,25.78,0,117
-0.4,36.47,7.21,0,269
1.3,86.84,10.52,0,213
6.0,88.0,3.89,,167
-2.7,87.96,,0,196
-3.8,80.56,26.23,0,235
16.6,57.39,26.16,0,111
1.1,28.75,,0,211
6.3,98.94,9.58,1,120
0.8,28.03,25.15,0,226
1.2,32.16,29.19,1,177
12.3,43.54,18.12,0,160
6.9,50.45,19.69,1,171
-1.8,98.49,4.38,1,190
8.7,24.56,10.0,1,177
17.4,57.66,14.55,1,84
7.8,99.62,5.83,1,120
unknown,7448.999999999999,23.01,0,154
8.1,71.27,16.5,1,144
1050.0,98.6,11.48,0,137
4.1,20.8,10.67,100.0,157
4.4,87.37,29.17,0,176
18.4,51.99,20.67,1,66
15.0,61.86,13.05,1,95
16.7,38.62,15.6,1,69
2.0,65.84,18.06,,177
16.5,77.11,25.68,1,57
1.9,29.2,20.27,1,163
14.6,22.79,18.09,1,109
-2.0,70.44,NA,1,187
-5.0,89.36,1.02,0,256
18.6,33.09,2.64,1,96
21.4,21.44,19.73,1,50
3.2,73.48,22.3,1,155
,53.75,21.16,1,78
8.9,49.46,26.75,1,124
9.4,65.12,7.33,0,146
21.3,35.28,24.01,1,55
11.0,63.42,21.69,0,143
12.1,54.51,17.24,0,160
3.7,88.44,5.64,1,141
24.5,74.63,4.74,1,42
20.7,39.13,9.23,1,52
18.2,61.2,29.03,1,41
-2.0,70.44,NA,1,187
3.5,53.12,29.67,0,174
10.6,95.4,22.49,1,102
6.2,22.2,24.69,1,134
19.4,87.03,18.55,0,82
2.6,66.09,2.34,1,203
5.2,76.9,24.92,1,147
19.8,56.61,5.4,0,112
18.8,64.87,23.81,0,74
21.8,57.74,10.03,1,66
7.5,72.65,24.16,1,125
-1.3,-63.84,,0,243
7.8,43.66,,1,137
1.4,22.97,20.92,0,215
19.1,37.33,20.5,0,?
2.3,40.1,28.96,1,175
7.8,42.34,14.83,1,115
-3.1,84.43,9.67,1,174
12.8,69.79,26.1,1,98
16.3,99.08,17.89,1,84
unknown$,42.87,12.05,0,238
9.1,98.94,28.75,1,107
-50.0,69.82,1.97,0,244
6.3,94.32,,1,111
-0.7,95.74,25.1,0,198
4.3,89.75,24.46,0,165
20.0,95.97,29.65,1,31
2.9,47.94,3.0,0,204
1.2,67.85,23.81,1,192
-2.3,44.62,18.66,0.0,231
12.9,37.14,26.08,1,95
N/A,38.51,29.11,1,52
16.5,87.58,5.32,1,120
19.2,40.56,1.42,0,134
4.8,66.3,24.29,0,192
2.5,67.34,0.0,1,187
13.0,4003.0,29.07,0,141
12.4,42.43,0.0,-0.0,155
1.1,35.83,23.27,0,208
-4.1,20.39,7.85,0,275
10.7,84.77,15.52,0,128
5.9,35.41,3.6,1,156
3.1,45.69,20.64,0,196
-1.8,88.44,2.58,0,235
12.4,76.88,0.77,0,137
5.5,99.04,4.83,0,171
14.0,93.98,25.76,0,120
4.9,64.63,22.18,0,221
18.6,28.81,24.65,1,71
3.1,88.64,11.07,1,145
24.2,79.78,14.15,0,83
6.6,85.96,18.18,0,174
-4.0,40.59,3.28,0,240
-1.3,93.98,7.47,0,235
24.4,98.71,2.53,0,80
-4.8,89.5,3.3000000000000003,0,216
6.8,74.31,25.41,0,165
,96.86,22.38,1,127
24.9,,13.45,0,66
20.1,63.77,20.14,0,76
10.4,93.8,0.52,0,138
19.4,96.92,27.76,1,17
5.2,35.46,18.63,0,195
15.1,24.73,,1,93
14.7,67.78,8.19,0.0,138
22.3,63.73,8.11,1,50
-2.3,50.61,2.36,0,266
22.7,58.61,2.03,1,68
7.4,36.48,24.65,0,157
15.7,61.35,6.07,1,100
9.5,93.28,12.27,0,168
6.1,53.97,13.92,0,171
13.8,26.45,0.79,1,127
6.7,74.61,0.0,0,176
21.7,91.74,28.14,,48
25.0,73.68,15.59,0,65
4.6,41.29,7.54,1,166
23.1,36.95,29.22,0,60
4.4,77.2,16.61,1,146
9.9,86.59,0.9,1,109
NA,28.98,12.82,1,115
15.9,34.84,6.48,0,113
8.1,54.75,4.0,0,157
18.4,56.04,11.93,1,75
3.8,83.56,1.78,0,176
8.7,23.76,12.7,0,191
7.2,39.36,17.84,0,160
20.9,89.77,273.8,0,85
24.2,78.62,11.45,1,3
7.3$,24.44,21.81,1,143
-2.6,54.89,9.2,1,208
18.8,33.78,26.19,1,79
10.4,56.76,19.83,0,136
10.6,80.17,20.92,1,107
-2.4,21.82,20.06,N/A,265
